영화 제목,영화 배역,영화 배우,영화 줄거리,영화 명대사,text
007스카이폴,"제임스 본드 역, 실바 역, M 역, 말로리 역, 이브 역, 세버린 역, Q 역, 킨케이드 역, 클레어 도워 역, 파트리스 역, 빌 태너 역, 런던 커뮤터 역","다니엘 크레이그, 하비에르 바르뎀, 주디 덴치, 랄프 파인즈, 나오미 해리스, 베레니스 말로에, 벤 위쇼, 알버트 피니, 헬렌 맥크로리, 올라 라파스, 로리 키니어, 산티 시넬리","상관 M의 지시에 따라 현장 요원 이브와 함께 임무를 수행하던 제임스 본드는 달리는 열차 위에서 적과 치열한 결투를 벌이다 M의 명령으로 이브가 쏜 총에 맞고 추락하여 실종된다. 이에 임무가 실패로 끝나자 전세계에서 테러단체에 잠입해 임무를 수행 중이던 비밀 요원들의 정보가 분실되고 MI6는 사상 최대의 위기에 빠진다. 설상가상으로 M의 과거에 얽힌 비밀로 인해 미스터리한 적 ‘실바’에게 공격을 받은 MI6는 붕괴 위험에 처하게 되고, 이 사건으로 인해 M은 책임 추궁을 당하며 퇴출 위기에 놓인다. 이때, 죽음의 고비에서 부활한 제임스 본드가 M의 곁으로 다시 돌아온다. 절체절명의 위기에 놓인 MI6와 M을 구하기 위해 제임스 본드는 비밀스러운 여인 세버린을 통해 ‘실바’를 찾아간다. 그리고 마침내 사상 최강의 적 ‘실바’와 피할 수 없는 대결을 시작하게 되는데...","Resurrection. 007(double O seven), reporting for duty. 내가 끝까지 살아남은 쥐야. 요새는 볼펜폭탄같은거 안만들어요. with pleasure  요즘 애들은, 다 저런가?","007 스카이폴 제임스 본드 역, 실바 역, M 역, 말로리 역, 이브 역, 세버린 역, Q 역, 킨케이드 역, 클레어 도워 역, 파트리스 역, 빌 태너 역, 런던 커뮤터 역 다니엘 크레이그, 하비에르 바르뎀, 주디 덴치, 랄프 파인즈, 나오미 해리스, 베레니스 말로에, 벤 위쇼, 알버트 피니, 헬렌 맥크로리, 올라 라파스, 로리 키니어, 산티 시넬리 Resurrection. 007(double O seven), reporting for duty. 내가 끝까지 살아남은 쥐야. 요새는 볼펜폭탄같은거 안만들어요. with pleasure  요즘 애들은, 다 저런가? 상관 M의 지시에 따라 현장 요원 이브와 함께 임무를 수행하던 제임스 본드는 달리는 열차 위에서 적과 치열한 결투를 벌이다 M의 명령으로 이브가 쏜 총에 맞고 추락하여 실종된다. 이에 임무가 실패로 끝나자 전세계에서 테러단체에 잠입해 임무를 수행 중이던 비밀 요원들의 정보가 분실되고 MI6는 사상 최대의 위기에 빠진다. 설상가상으로 M의 과거에 얽힌 비밀로 인해 미스터리한 적 ‘실바’에게 공격을 받은 MI6는 붕괴 위험에 처하게 되고, 이 사건으로 인해 M은 책임 추궁을 당하며 퇴출 위기에 놓인다. 이때, 죽음의 고비에서 부활한 제임스 본드가 M의 곁으로 다시 돌아온다. 절체절명의 위기에 놓인 MI6와 M을 구하기 위해 제임스 본드는 비밀스러운 여인 세버린을 통해 ‘실바’를 찾아간다. 그리고 마침내 사상 최강의 적 ‘실바’와 피할 수 없는 대결을 시작하게 되는데..."
007퀀텀오브솔러스,"제임스 본드 역, 카밀 역, 모리스 그린 역, M 역, 매디스 역, 스트로베리 필즈 ..., 펠릭스 라이터 역, 그렉 빔 역, 미스터 화이트 역, 엘비스 역, 태너 역","다니엘 크레이그, 올가 쿠릴렌코, 마티유 아말릭, 주디 덴치, 지안카를로 지아..., 젬마 아터튼, 제프리 라이트, 데이빗 하버, 제스퍼 크리스텐슨, 애나톨 토브맨, 로리 키니어","‘카지노 로얄’에서 최초의 임무를 성공적으로 완수한 007 제임스 본드. 하지만 첫사랑 베스퍼의 배신과 비극적인 죽음으로 강렬한 복수심에 휩싸인다. 한편, 진실을 밝히기 위해 M과 함께 수수께끼의 인물 미스터 화이트를 심문하던 중, 베스퍼를 죽음으로 몰고간 배후 세력이 생각보다 훨신 거대하고 위험한 조직임을 알게 된다. 게다가 MI6 내부에까지 세력이 침투해 있어 제임스 본드가 믿을 수 있는 사람은 아무도 없다는 게 밝혀진다. 비밀리에 단서를 쫓던 007은 MI6 내의 누군가가 테러 조직의 돈 세탁을 위해 아이티에 은행 계좌를 만들었다는 정보를 입수하고 곧바로 아이티로 향한다. 그곳에서 예상 밖의 아군 카밀을 만나게 되는데, 그녀 역시 독재자 메드라노 장군에게 온 가족을 몰살당한 뒤, 오직 복수만을 위해 그와 줄을 대고 있는 도미닉 그린에게 접근한다. 아이티로 날아온007은 카밀의 도움으로 마침내 냉혈한 비즈니스맨이자 조직의 배후 인물인 도미닉 그린에게 접근하는데 성공하지만, 조직의 명령을 거부하고 단독 행동에 나선 007은 CIA와 영국 정부에 쫓기는 신세가 된다. 한편, 오스트리아, 이탈리아, 남미로 이어지는 도미닉의 행로를 쫓던 007은 남미의 정권을 찬탈, 망명 중인 메드라노 장군을 복귀시키려는 계략을 꾸미고 있음을 알게 된다. 게다가 도미닉은 CIA와 영국 정부 고위층을 포함한 ‘퀀텀’이라는 비밀 조직을 결성, 세계에서 가장 중요한 천연 자원을 독점하려는 거대한 음모를 꾸미고 있었다. 배신과 살인, 음모가 난무하는 가운데, 이제 누구도 믿지 못하게 된 007은 진실을 밝히기 위해 CIA, 테러범, 그리고 심지어 M보다 한발 앞서 도미닉이 이끄는 사악한 조직 ‘퀀텀’을 제거하기 위해 직접 살인을 하거나 본인의 목숨을 내 놓아야 하는 지경에 처하는데...","죽은 자는 복수에 관심 없죠. 로또에 당첨됐소~~!! 복수심에 적과 동지도 구분못하면, 은퇴할때가 됬다는 뜻이지. 30km쯤 걸어가면 목이마를테니 마셔두는게 좋을꺼야. 잡으면 알려줘요 어떤 기분인지 알고 싶으니까 위에서는 엔진오일이 나왔대. Bond. Move your ass 환상의 커플이 되겠군 둘다 평생 못 잊을 마음의 상처를 갖고 있으니까","007 퀀텀 오브 솔러스 제임스 본드 역, 카밀 역, 모리스 그린 역, M 역, 매디스 역, 스트로베리 필즈 ..., 펠릭스 라이터 역, 그렉 빔 역, 미스터 화이트 역, 엘비스 역, 태너 역 다니엘 크레이그, 올가 쿠릴렌코, 마티유 아말릭, 주디 덴치, 지안카를로 지아..., 젬마 아터튼, 제프리 라이트, 데이빗 하버, 제스퍼 크리스텐슨, 애나톨 토브맨, 로리 키니어 죽은 자는 복수에 관심 없죠. 로또에 당첨됐소~~!! 복수심에 적과 동지도 구분못하면, 은퇴할때가 됬다는 뜻이지. 30km쯤 걸어가면 목이마를테니 마셔두는게 좋을꺼야. 잡으면 알려줘요 어떤 기분인지 알고 싶으니까 위에서는 엔진오일이 나왔대. Bond. Move your ass 환상의 커플이 되겠군 둘다 평생 못 잊을 마음의 상처를 갖고 있으니까 ‘카지노 로얄’에서 최초의 임무를 성공적으로 완수한 007 제임스 본드. 하지만 첫사랑 베스퍼의 배신과 비극적인 죽음으로 강렬한 복수심에 휩싸인다. 한편, 진실을 밝히기 위해 M과 함께 수수께끼의 인물 미스터 화이트를 심문하던 중, 베스퍼를 죽음으로 몰고간 배후 세력이 생각보다 훨신 거대하고 위험한 조직임을 알게 된다. 게다가 MI6 내부에까지 세력이 침투해 있어 제임스 본드가 믿을 수 있는 사람은 아무도 없다는 게 밝혀진다. 비밀리에 단서를 쫓던 007은 MI6 내의 누군가가 테러 조직의 돈 세탁을 위해 아이티에 은행 계좌를 만들었다는 정보를 입수하고 곧바로 아이티로 향한다. 그곳에서 예상 밖의 아군 카밀을 만나게 되는데, 그녀 역시 독재자 메드라노 장군에게 온 가족을 몰살당한 뒤, 오직 복수만을 위해 그와 줄을 대고 있는 도미닉 그린에게 접근한다. 아이티로 날아온007은 카밀의 도움으로 마침내 냉혈한 비즈니스맨이자 조직의 배후 인물인 도미닉 그린에게 접근하는데 성공하지만, 조직의 명령을 거부하고 단독 행동에 나선 007은 CIA와 영국 정부에 쫓기는 신세가 된다. 한편, 오스트리아, 이탈리아, 남미로 이어지는 도미닉의 행로를 쫓던 007은 남미의 정권을 찬탈, 망명 중인 메드라노 장군을 복귀시키려는 계략을 꾸미고 있음을 알게 된다. 게다가 도미닉은 CIA와 영국 정부 고위층을 포함한 ‘퀀텀’이라는 비밀 조직을 결성, 세계에서 가장 중요한 천연 자원을 독점하려는 거대한 음모를 꾸미고 있었다. 배신과 살인, 음모가 난무하는 가운데, 이제 누구도 믿지 못하게 된 007은 진실을 밝히기 위해 CIA, 테러범, 그리고 심지어 M보다 한발 앞서 도미닉이 이끄는 사악한 조직 ‘퀀텀’을 제거하기 위해 직접 살인을 하거나 본인의 목숨을 내 놓아야 하는 지경에 처하는데..."
10억,"한기태 역, 장민철 PD 역, 조유진 역, 박철희 역, 김지은 역, 최욱환 역, 이보영 역, 홍수연 역, 하승호 역, 서 기사 역, 김 형사 역, 박 형사 역, 안 박사 역, 장민철의 처 역, 괴한 역","박해일, 박희순, 신민아, 이민기, 정유미, 이천희, 고은아, 유나미, 김학선, 정석용, 최무성, 강왕수, 신동미, 이은우, 김준배","수십만의 신청자 중, 인터넷 방송국 주최의 10억 상금 서바이벌 게임쇼에 8명의 참가자가 초대된다. 바다, 사막, 밀림, 강으로 이어지는 육지 속의 무인도, 호주 퍼스(Perth). 마지막 한 명이 살아 남을 때까지 멈출 수 없는 서바이벌 게임쇼가 시작됐다. 그러나 게임쇼 7일 후... 8명의 참가자와 2명의 방송진행자 中 9명은 몰살되고 한 명의 생존자는 기억상실 상태로 호주 경찰에 의해 발견된다. 사막과 밀림을 배경으로 마지막 한 명이 살아 남을 때까지 멈출 수 없었던 미스터리 게임쇼. 그 곳에선 무엇이 일어난 것일까? 왜 그들은 목숨을 건 죽음의 게임쇼를 계속할 수 밖에 없었나?",일단 내 땀 좀 핥아. 피할수 없으면 즐기란말 알지?  훈련소에서 들은 가장 엿같으면서도 제일 정확한 말이야 대단해...이와중에. 눈이 너무 예뻐서 메리크리스마스 메리크리스마스 사람은 누구나 겁에 질려서 살아간다는 걸. 이제.. 니네 둘만 죽이면 다 끝나.. 앗 씨바 이게 뭐야~ 아까그게임은 왜했어! 요즘은 죽는게 좋은건지 사는게 좋은건지 모르겠어,"10억 한기태 역, 장민철 PD 역, 조유진 역, 박철희 역, 김지은 역, 최욱환 역, 이보영 역, 홍수연 역, 하승호 역, 서 기사 역, 김 형사 역, 박 형사 역, 안 박사 역, 장민철의 처 역, 괴한 역 박해일, 박희순, 신민아, 이민기, 정유미, 이천희, 고은아, 유나미, 김학선, 정석용, 최무성, 강왕수, 신동미, 이은우, 김준배 일단 내 땀 좀 핥아. 피할수 없으면 즐기란말 알지?  훈련소에서 들은 가장 엿같으면서도 제일 정확한 말이야 대단해...이와중에. 눈이 너무 예뻐서 메리크리스마스 메리크리스마스 사람은 누구나 겁에 질려서 살아간다는 걸. 이제.. 니네 둘만 죽이면 다 끝나.. 앗 씨바 이게 뭐야~ 아까그게임은 왜했어! 요즘은 죽는게 좋은건지 사는게 좋은건지 모르겠어 수십만의 신청자 중, 인터넷 방송국 주최의 10억 상금 서바이벌 게임쇼에 8명의 참가자가 초대된다. 바다, 사막, 밀림, 강으로 이어지는 육지 속의 무인도, 호주 퍼스(Perth). 마지막 한 명이 살아 남을 때까지 멈출 수 없는 서바이벌 게임쇼가 시작됐다. 그러나 게임쇼 7일 후... 8명의 참가자와 2명의 방송진행자 中 9명은 몰살되고 한 명의 생존자는 기억상실 상태로 호주 경찰에 의해 발견된다. 사막과 밀림을 배경으로 마지막 한 명이 살아 남을 때까지 멈출 수 없었던 미스터리 게임쇼. 그 곳에선 무엇이 일어난 것일까? 왜 그들은 목숨을 건 죽음의 게임쇼를 계속할 수 밖에 없었나?"
1987,"박처장 역, 공안부장 역, 한병용 역, 연희 역, 조반장 역, 윤상삼 기자 역, 유과장 역, 박계장 역, 황경위 역, 반경장 역, 강경사 역, 이경장 역, 이부영 역, 안계장 역, 연희엄마 역, 박종철 아버지 역","김윤석, 하정우, 유해진, 김태리, 박희순, 이희준, 유승목, 현봉식, 박지환, 이용직, 박지홍, 김경덕, 김의성, 최광일, 김수진, 김종수","1987년 1월, 경찰 조사를 받던 스물두 살 대학생이 사망한다. 증거인멸을 위해 박처장(김윤석)의 주도 하에 경찰은 시신 화장을 요청하지만, 사망 당일 당직이었던 최검사(하정우)는 이를 거부하고 부검을 밀어붙인다. 단순 쇼크사인 것처럼 거짓 발표를 이어가는 경찰. 그러나 현장에 남은 흔적들과 부검 소견은 고문에 의한 사망을 가리키고, 사건을 취재하던 윤기자(이희준)는 ‘물고문 도중 질식사’를 보도한다. 이에 박처장은 조반장(박희순)등 형사 둘만 구속시키며 사건을 축소하려 한다. 한편, 교도소에 수감된 조반장을 통해 사건의 진상을 알게 된 교도관 한병용(유해진)은 이 사실을 수배 중인 재야인사에게 전달하기 위해 조카인 연희(김태리)에게 위험한 부탁을 하게 되는데… 한 사람이 죽고, 모든 것이 변화하기 시작했다. 모두가 뜨거웠던 1987년의 이야기.",그리고 사투리 좀 고치지? 김일성이네? 왜 가지를 못하니… 경찰이 대학생을 죽였는데 뭐? 보도지침? 조 까라그래! 조사관이 책상을 탁 치니 억! 하고 어!?? 그런다고 세상이 바뀌어요? 받아쓰기나 잘해 이 새끼야 이거 안비싼건데.. 반가운~ 사람들~ 자 변호사 필요하시면 말씀하시고~,"1987 박처장 역, 공안부장 역, 한병용 역, 연희 역, 조반장 역, 윤상삼 기자 역, 유과장 역, 박계장 역, 황경위 역, 반경장 역, 강경사 역, 이경장 역, 이부영 역, 안계장 역, 연희엄마 역, 박종철 아버지 역 김윤석, 하정우, 유해진, 김태리, 박희순, 이희준, 유승목, 현봉식, 박지환, 이용직, 박지홍, 김경덕, 김의성, 최광일, 김수진, 김종수 그리고 사투리 좀 고치지? 김일성이네? 왜 가지를 못하니… 경찰이 대학생을 죽였는데 뭐? 보도지침? 조 까라그래! 조사관이 책상을 탁 치니 억! 하고 어!?? 그런다고 세상이 바뀌어요? 받아쓰기나 잘해 이 새끼야 이거 안비싼건데.. 반가운~ 사람들~ 자 변호사 필요하시면 말씀하시고~ 1987년 1월, 경찰 조사를 받던 스물두 살 대학생이 사망한다. 증거인멸을 위해 박처장(김윤석)의 주도 하에 경찰은 시신 화장을 요청하지만, 사망 당일 당직이었던 최검사(하정우)는 이를 거부하고 부검을 밀어붙인다. 단순 쇼크사인 것처럼 거짓 발표를 이어가는 경찰. 그러나 현장에 남은 흔적들과 부검 소견은 고문에 의한 사망을 가리키고, 사건을 취재하던 윤기자(이희준)는 ‘물고문 도중 질식사’를 보도한다. 이에 박처장은 조반장(박희순)등 형사 둘만 구속시키며 사건을 축소하려 한다. 한편, 교도소에 수감된 조반장을 통해 사건의 진상을 알게 된 교도관 한병용(유해진)은 이 사실을 수배 중인 재야인사에게 전달하기 위해 조카인 연희(김태리)에게 위험한 부탁을 하게 되는데… 한 사람이 죽고, 모든 것이 변화하기 시작했다. 모두가 뜨거웠던 1987년의 이야기."
1급기밀,"대익 역, 정숙 역, 현석 역, 선호 역, 황주임 역, 차대위 역, 미란 역, 곽병장 역, 희경 역, 시원 역, 경철 역, 영우모 역, 영우아내 역","김상경, 김옥빈, 최무성, 최귀화, 김병철, 서현우, 황보라, 김경남, 이항나, 이지원, 지건우, 성병숙, 김성민","국방부 군수본부 항공부품구매과 과장으로 부임한 박대익 중령(김상경)에게 어느 날, 공군 전투기 파일럿 강영우 대위가 찾아와 전투기 부품 공급 업체 선정에 대한 의혹을 제기한다. 이에 대익이 부품구매 서류를 확인하던 중 유독 미국의 에어스타 부품만이 공급되고 있음을 발견한다. 한편 강영우 대위가 전투기 추락 사고를 당하고, 이를 조종사 과실로 만들어 사건을 은폐하는 과정을 지켜본 대익은 큰 충격을 받는다. 그리고 은밀한 뒷조사 끝에 차세대 전투기 도입에 관한 에어스타와 연계된 미 펜타곤과 국방부 간에 진행되고 있는 모종의 계약을 알게 된다. 딸에게만큼은 세상에서 가장 바보 같지만 세상에서 제일 용감한 군인으로 남고 싶은 대익은 [PD25시]의 기자 김정숙(김옥빈)과 손잡고 국익이라는 미명으로 군복 뒤에 숨은 도둑들의 만행을 폭로하기로 결심하는 데… 그들이 시작한 전쟁, 절대로 항복하지 않을 것이다!",제가 입고 있는 군복은 썩은 군인들이 준것이 아닌 국가와 시민이 준것입니다 군인은 (비리로 인한 사고사가 아닌) 적과 싸우다 죽어야 합니다.. 택아 밥먹자 자네가 처음일것 같나? 우리는 한 식구가 맞았습니다 한 배에서 나온 개새끼들이었던겁니다 군바리 싫어서 나온놈한테 물어보면 뭐해? 아빠는 용기있는 군인이야. 어우.. 하사때도 안하던 군화주까지 마셨어.. 아이고 지갑을 차에다 두고왔네. 야야 그거 우리집 까스.. 까스비!,"1급기밀 대익 역, 정숙 역, 현석 역, 선호 역, 황주임 역, 차대위 역, 미란 역, 곽병장 역, 희경 역, 시원 역, 경철 역, 영우모 역, 영우아내 역 김상경, 김옥빈, 최무성, 최귀화, 김병철, 서현우, 황보라, 김경남, 이항나, 이지원, 지건우, 성병숙, 김성민 제가 입고 있는 군복은 썩은 군인들이 준것이 아닌 국가와 시민이 준것입니다 군인은 (비리로 인한 사고사가 아닌) 적과 싸우다 죽어야 합니다.. 택아 밥먹자 자네가 처음일것 같나? 우리는 한 식구가 맞았습니다 한 배에서 나온 개새끼들이었던겁니다 군바리 싫어서 나온놈한테 물어보면 뭐해? 아빠는 용기있는 군인이야. 어우.. 하사때도 안하던 군화주까지 마셨어.. 아이고 지갑을 차에다 두고왔네. 야야 그거 우리집 까스.. 까스비! 국방부 군수본부 항공부품구매과 과장으로 부임한 박대익 중령(김상경)에게 어느 날, 공군 전투기 파일럿 강영우 대위가 찾아와 전투기 부품 공급 업체 선정에 대한 의혹을 제기한다. 이에 대익이 부품구매 서류를 확인하던 중 유독 미국의 에어스타 부품만이 공급되고 있음을 발견한다. 한편 강영우 대위가 전투기 추락 사고를 당하고, 이를 조종사 과실로 만들어 사건을 은폐하는 과정을 지켜본 대익은 큰 충격을 받는다. 그리고 은밀한 뒷조사 끝에 차세대 전투기 도입에 관한 에어스타와 연계된 미 펜타곤과 국방부 간에 진행되고 있는 모종의 계약을 알게 된다. 딸에게만큼은 세상에서 가장 바보 같지만 세상에서 제일 용감한 군인으로 남고 싶은 대익은 [PD25시]의 기자 김정숙(김옥빈)과 손잡고 국익이라는 미명으로 군복 뒤에 숨은 도둑들의 만행을 폭로하기로 결심하는 데… 그들이 시작한 전쟁, 절대로 항복하지 않을 것이다!"
1번가의기적,"필제 역, 명란 역, 이 관장 역, 명란 부 역, 태석 역, 선주 역, 일동 역, 이순 역, 덕구 역","임창정, 하지원, 주현, 정두홍, 이훈, 강예원, 박창익, 박유선, 고태호","재개발의 막중한 임무를 띠고 에쿠스를 끌며 폼 나게 1번가에 나타난 날건달, 필제. ‘천하의 나쁜 노무새끼’가 되어 피도 눈물도 없이 무대뽀로 마을 사람들을 밀어내려 단단히 맘을 먹었건만 도착한 첫날부터 맞닥뜨린 깡따구 센 여자 복서 명란을 비롯하여 예측불허의 마을 사람들로 인해 필제의 계획은 꼬이기 시작한다. 버스보다 발이 빠르고 말보다 주먹이 앞서는 명란은 몸이 불편한 아버지와 동생을 돌보면 서도 아빠에게 자랑스런 딸이 되기 위해 동양 챔피언의 꿈을 다지며 꿋꿋하게 살아간다. 이런 명란과 사사건건 엮이게 된 필제는 재개발은 커녕 명란의 뒤치닥거리 하기에 바쁘다. 엎친 데 덮친 격으로 필제가 하는 짓들이 마냥 신기하기만 한 일동, 이순 남매는 순 수함으로 필제를 제압하고, 그를 두려워하기는 커녕 일까지 시켜먹는 마을사람들로 인해 필제는 동네의 온갖 잡일을 도맡아 하게 된다. 급기야 그는 동네 아이들에게 날건달이 아닌 슈퍼맨으로 통하기에 이르는데… ‘마을 접수’라는 애초의 목적 달성에서 점점 멀어져만 가는 필제, ‘동양챔피언’의 꿈을 향해 계속 달리는 명란, 그리고 각자의 꿈을 안고 살아가는 ‘1번가’ 사람들. 서로간의 묘한 유대감을 쌓아가면서 나아갈 수도 물러설 수도 없는 이 상황에서, 필제는 과연 임무를 완수할 수 있을 것인가?","바람을 가르는 빠른 팔, 이건 절대 입에서 나는 소리가 아니야. 와? 밥묵고 때릴라고? 너무 심한거 아이가? 니나잘하세요~ 신라면박스 가져가도 됩니꺼 너도 강변 살고싶냐 ? 나도 강변 살고싶다. 너 강변 땅값이 얼만지는 아니? 1곱하기 1은 영원히 1인거야 직이바라!직이바라! 권투~ 권투!","1번가의 기적 필제 역, 명란 역, 이 관장 역, 명란 부 역, 태석 역, 선주 역, 일동 역, 이순 역, 덕구 역 임창정, 하지원, 주현, 정두홍, 이훈, 강예원, 박창익, 박유선, 고태호 바람을 가르는 빠른 팔, 이건 절대 입에서 나는 소리가 아니야. 와? 밥묵고 때릴라고? 너무 심한거 아이가? 니나잘하세요~ 신라면박스 가져가도 됩니꺼 너도 강변 살고싶냐 ? 나도 강변 살고싶다. 너 강변 땅값이 얼만지는 아니? 1곱하기 1은 영원히 1인거야 직이바라!직이바라! 권투~ 권투! 재개발의 막중한 임무를 띠고 에쿠스를 끌며 폼 나게 1번가에 나타난 날건달, 필제. ‘천하의 나쁜 노무새끼’가 되어 피도 눈물도 없이 무대뽀로 마을 사람들을 밀어내려 단단히 맘을 먹었건만 도착한 첫날부터 맞닥뜨린 깡따구 센 여자 복서 명란을 비롯하여 예측불허의 마을 사람들로 인해 필제의 계획은 꼬이기 시작한다. 버스보다 발이 빠르고 말보다 주먹이 앞서는 명란은 몸이 불편한 아버지와 동생을 돌보면 서도 아빠에게 자랑스런 딸이 되기 위해 동양 챔피언의 꿈을 다지며 꿋꿋하게 살아간다. 이런 명란과 사사건건 엮이게 된 필제는 재개발은 커녕 명란의 뒤치닥거리 하기에 바쁘다. 엎친 데 덮친 격으로 필제가 하는 짓들이 마냥 신기하기만 한 일동, 이순 남매는 순 수함으로 필제를 제압하고, 그를 두려워하기는 커녕 일까지 시켜먹는 마을사람들로 인해 필제는 동네의 온갖 잡일을 도맡아 하게 된다. 급기야 그는 동네 아이들에게 날건달이 아닌 슈퍼맨으로 통하기에 이르는데… ‘마을 접수’라는 애초의 목적 달성에서 점점 멀어져만 가는 필제, ‘동양챔피언’의 꿈을 향해 계속 달리는 명란, 그리고 각자의 꿈을 안고 살아가는 ‘1번가’ 사람들. 서로간의 묘한 유대감을 쌓아가면서 나아갈 수도 물러설 수도 없는 이 상황에서, 필제는 과연 임무를 완수할 수 있을 것인가?"
2012,"잭슨 커티스 역, 케이트 커티스 역, 애드리언 헬슬리 역, 로라 윌슨 역, 칼 앤휴저 역, 고든 실버맨 역, 찰리 프로스트 역, 토마스 윌슨 대통..., 노아 커티스 역, 릴리 커티스 역, 유리 카포브 역, 타마라 역, 알렉 역, 올렉 역, 사샤 역","존 쿠삭, 아만다 피트, 치웨텔 에지오포, 탠디 뉴튼, 올리버 플랫, 토마스 맥카시, 우디 해럴슨, 대니 글로버, 리암 제임스, 모건 릴리, 즐라코 부릭, 베아트리스 로젠, 알렉상드르 하우..., 필립 하우스만, 조핸 어브","고대 마야 문명에서부터 끊임없이 회자되어 온 인류 멸망. 2012년, 저명한 과학자들은 오랜 연구 끝에 실제로 멸망의 시기가 다가오고 있음을 감지하고 각국 정부에 이 사실을 알린다. 그리고 곧 고대인들의 예언대로 전세계 곳곳에서는 지진, 화산 폭발, 거대한 해일 등 각종 자연 재해들이 발생해 그 누구도 막을 수 없는 최후의 순간이 도래한다. 한편, 이혼 후 가족과 떨어져 살던 소설가 잭슨 커티스(존 쿠삭)는 인류 멸망에 대비해 진행되어 왔던 정부의 비밀 계획을 알아차리고 가족과 함께 살아남기 위한 필사의 사투를 벌이는데…","""시동이 안걸려요"" ""모두조용히해!!!!!!!.... 엔진, 작동"" ""음성인식이야. 멋지지?"" ""기억하십시오!! 지금가지 찰리가 먼저 알려드렸습니다!""  금방 갈께, 여보 내 눈을 봐. 아빠가 무서워 하는 것 같니??    - 응 겸손떠는게 아니야 난 못해!! 우리 아빠라구요!!!! 이 광경을 여러분이 보셨다면! 산아 폭발해라! 명심하세요 찰리가 알려드렸음을! (할머니 대사죠..이름이 없으시네요) 계란 조심해요!!! 첨단 과학도 소용 없군. 마야인들이 수천년 전에 예상한 일인데","2012 잭슨 커티스 역, 케이트 커티스 역, 애드리언 헬슬리 역, 로라 윌슨 역, 칼 앤휴저 역, 고든 실버맨 역, 찰리 프로스트 역, 토마스 윌슨 대통..., 노아 커티스 역, 릴리 커티스 역, 유리 카포브 역, 타마라 역, 알렉 역, 올렉 역, 사샤 역 존 쿠삭, 아만다 피트, 치웨텔 에지오포, 탠디 뉴튼, 올리버 플랫, 토마스 맥카시, 우디 해럴슨, 대니 글로버, 리암 제임스, 모건 릴리, 즐라코 부릭, 베아트리스 로젠, 알렉상드르 하우..., 필립 하우스만, 조핸 어브 ""시동이 안걸려요"" ""모두조용히해!!!!!!!.... 엔진, 작동"" ""음성인식이야. 멋지지?"" ""기억하십시오!! 지금가지 찰리가 먼저 알려드렸습니다!""  금방 갈께, 여보 내 눈을 봐. 아빠가 무서워 하는 것 같니??    - 응 겸손떠는게 아니야 난 못해!! 우리 아빠라구요!!!! 이 광경을 여러분이 보셨다면! 산아 폭발해라! 명심하세요 찰리가 알려드렸음을! (할머니 대사죠..이름이 없으시네요) 계란 조심해요!!! 첨단 과학도 소용 없군. 마야인들이 수천년 전에 예상한 일인데 고대 마야 문명에서부터 끊임없이 회자되어 온 인류 멸망. 2012년, 저명한 과학자들은 오랜 연구 끝에 실제로 멸망의 시기가 다가오고 있음을 감지하고 각국 정부에 이 사실을 알린다. 그리고 곧 고대인들의 예언대로 전세계 곳곳에서는 지진, 화산 폭발, 거대한 해일 등 각종 자연 재해들이 발생해 그 누구도 막을 수 없는 최후의 순간이 도래한다. 한편, 이혼 후 가족과 떨어져 살던 소설가 잭슨 커티스(존 쿠삭)는 인류 멸망에 대비해 진행되어 왔던 정부의 비밀 계획을 알아차리고 가족과 함께 살아남기 위한 필사의 사투를 벌이는데…"
